Model,FPR,TPR,AUC
Best Model (Stacking),0.00420627864031188,0.06885844748858448,0.8396951170190871
Best Model (Stacking),0.00420627864031188,0.06958904109589041,0.8396951170190871
Best Model (Stacking),0.004240476027631489,0.06958904109589041,0.8396951170190871
Best Model (Stacking),0.004240476027631489,0.06995433789954338,0.8396951170190871
Best Model (Stacking),0.004257574721291293,0.06995433789954338,0.8396951170190871
Best Model (Stacking),0.004257574721291293,0.07013698630136986,0.8396951170190871
Best Model (Stacking),0.0042917721086109025,0.07013698630136986,0.8396951170190871
Best Model (Stacking),0.0042917721086109025,0.07105022831050228,0.8396951170190871
Best Model (Stacking),0.004308870802270707,0.07105022831050228,0.8396951170190871
Best Model (Stacking),0.004308870802270707,0.07123287671232877,0.8396951170190871
Best Model (Stacking),0.004325969495930511,0.07123287671232877,0.8396951170190871
Best Model (Stacking),0.004325969495930511,0.07232876712328767,0.8396951170190871
Best Model (Stacking),0.004343068189590315,0.07232876712328767,0.8396951170190871
Best Model (Stacking),0.004343068189590315,0.07251141552511416,0.8396951170190871
Best Model (Stacking),0.004360166883250119,0.07251141552511416,0.8396951170190871
Best Model (Stacking),0.004360166883250119,0.07287671232876712,0.8396951170190871
Best Model (Stacking),0.004377265576909924,0.07287671232876712,0.8396951170190871
Best Model (Stacking),0.004377265576909924,0.07324200913242009,0.8396951170190871
Best Model (Stacking),0.004411462964229533,0.07324200913242009,0.8396951170190871
Best Model (Stacking),0.004411462964229533,0.07360730593607306,0.8396951170190871
Best Model (Stacking),0.004428561657889337,0.07360730593607306,0.8396951170190871
Best Model (Stacking),0.004428561657889337,0.07452054794520548,0.8396951170190871
Best Model (Stacking),0.004462759045208946,0.07452054794520548,0.8396951170190871
Best Model (Stacking),0.004462759045208946,0.07488584474885844,0.8396951170190871
Best Model (Stacking),0.00447985773886875,0.07488584474885844,0.8396951170190871
Best Model (Stacking),0.00447985773886875,0.0754337899543379,0.8396951170190871
Best Model (Stacking),0.0044969564325285545,0.0754337899543379,0.8396951170190871
Best Model (Stacking),0.0044969564325285545,0.07561643835616438,0.8396951170190871
Best Model (Stacking),0.004531153819848164,0.07561643835616438,0.8396951170190871
Best Model (Stacking),0.004531153819848164,0.07579908675799087,0.8396951170190871
Best Model (Stacking),0.004548252513507968,0.07579908675799087,0.8396951170190871
Best Model (Stacking),0.004548252513507968,0.07616438356164383,0.8396951170190871
Best Model (Stacking),0.004565351207167772,0.07616438356164383,0.8396951170190871
Best Model (Stacking),0.004565351207167772,0.07652968036529681,0.8396951170190871
Best Model (Stacking),0.004582449900827577,0.07652968036529681,0.8396951170190871
Best Model (Stacking),0.004582449900827577,0.07671232876712329,0.8396951170190871
Best Model (Stacking),0.004667943369126599,0.07671232876712329,0.8396951170190871
Best Model (Stacking),0.004667943369126599,0.07707762557077626,0.8396951170190871
Best Model (Stacking),0.004702140756446207,0.07707762557077626,0.8396951170190871
Best Model (Stacking),0.004702140756446207,0.07726027397260274,0.8396951170190871
Best Model (Stacking),0.004753436837425621,0.07726027397260274,0.8396951170190871
Best Model (Stacking),0.004753436837425621,0.07744292237442922,0.8396951170190871
Best Model (Stacking),0.004804732918405034,0.07744292237442922,0.8396951170190871
Best Model (Stacking),0.004804732918405034,0.07799086757990868,0.8396951170190871
Best Model (Stacking),0.004838930305724643,0.07799086757990868,0.8396951170190871
Best Model (Stacking),0.004838930305724643,0.07817351598173516,0.8396951170190871
Best Model (Stacking),0.004941522467683469,0.07817351598173516,0.8396951170190871
Best Model (Stacking),0.004941522467683469,0.07835616438356165,0.8396951170190871
Best Model (Stacking),0.004975719855003078,0.07835616438356165,0.8396951170190871
